date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-05-03,122,0,mpc,32371.58021802467,0.0,17862.076621769007,14062.721951209694,19705.053897465354,6353.505564726533,6804.127911863426,13789.555977315053,0.0,13789.555977315053
2025-05-04,123,0,mpc,69543.22140378984,5.99694999999997,17410.006775751892,13721.802829808013,14126.347074512634,6804.127911863426,7226.686421364559,43272.314657165036,39.8257449499998,43312.14040211504
2025-05-05,124,0,mpc,65724.53806507056,0.0,21496.653399950905,17156.32003861337,6308.197903733026,7226.686421364559,7511.096660638845,40483.01813047785,0.0,40483.01813047785
2025-05-06,125,0,mpc,64304.44784312873,0.0,20601.14390423783,16902.702302127967,7735.923874352202,7511.096660638845,7271.345838755146,40262.29116370085,0.0,40262.29116370085
2025-05-07,126,0,mpc,63769.811656038866,0.0,19050.20860551801,15573.78564106855,5225.5427415894155,7271.345838755146,7112.32731586741,39632.42758191259,0.0,39632.42758191259
2025-05-08,127,0,mpc,64007.69199804019,50.59592018791898,18551.2940490103,14799.402114829765,4479.883584047573,7112.32731586741,7364.711832388058,39842.603383994545,351.8907673073213,40194.494151301864
2025-05-09,128,0,mpc,28906.723881155744,0.0,17127.039991577585,14356.209825815287,17636.507865393447,7364.711832388058,6827.703573902014,12020.991247643316,0.0,12020.991247643316
2025-05-10,129,0,mpc,29919.41821720816,0.0,17384.46598825229,14231.023964649461,14644.930910271993,6827.703573902014,6661.4741137185565,12864.014640746575,0.0,12864.014640746575
2025-05-11,130,0,mpc,66806.8768893323,34.93523013553738,18027.212315070865,14485.160417508141,7815.6811385717765,6661.4741137185565,6791.342511162187,41107.98560077239,234.82347042596166,41342.809071198346
2025-05-12,131,0,mpc,65692.24093581448,0.0,16515.264970668435,12976.638778725955,10222.419510538672,6791.342511162187,7236.593452846055,40507.90001821825,0.0,40507.90001821825
2025-05-13,132,0,mpc,64187.4895538594,0.0,20555.110564705614,16987.26071781028,7490.426940297405,7236.593452846055,6861.458830180794,38726.76215513606,0.0,38726.76215513606
2025-05-14,133,0,mpc,62945.86912161364,0.0,19345.198414714334,15820.509096175643,6407.031019741622,6861.458830180794,6693.793963228539,37741.55989771035,0.0,37741.55989771035
2025-05-15,134,0,mpc,62101.32928089787,76.89035608455204,20031.57149428853,16291.045276708779,5672.635136069344,6693.793963228539,6621.046889522904,37605.22215276823,363.6784379334733,37968.9005907017
2025-05-16,135,0,mpc,28597.301024866596,0.0,16794.2215580465,13726.050362942433,22813.623296429196,6621.046889522904,6484.6792218287155,11766.260071384308,0.0,11766.260071384308
