date,slot,period,actual_load_kwh,old_load_forecast_kwh,new_load_forecast_kwh,actual_pv_kwh,pv_forecast_kwh
2025-02-11,129,21:30-21:40,752.0007666666667,726.3284780948915,744.0829547125427,0.0,0.0
2025-02-11,130,21:40-21:50,649.4191500000001,659.1979235733601,678.235965407714,0.0,0.0
2025-02-11,131,21:50-22:00,519.6266666666667,550.9280429501048,564.5206033738807,0.0,0.0
2025-02-11,132,22:00-22:10,516.4438166666666,553.8104387897312,541.532678657217,0.0,0.0
2025-02-11,133,22:10-22:20,554.26675,587.5798219087666,545.2873068846616,0.0,0.0
2025-02-11,134,22:20-22:30,557.0933333333334,588.5914526161309,538.5031470709215,0.0,0.0
2025-02-11,135,22:30-22:40,532.8444833333333,567.5624046947087,549.3036838032973,0.0,0.0
2025-02-11,136,22:40-22:50,537.9361333333333,554.5071254840749,552.8927237250215,0.0,0.0
2025-02-11,137,22:50-23:00,566.135,554.4302967534326,548.8929472072439,0.0,0.0
2025-02-11,138,23:00-23:10,560.1618833333333,545.0690504542415,561.7657072674223,0.0,0.0
2025-02-11,139,23:10-23:20,553.0332500000001,547.7872245107238,563.3183851613609,0.0,0.0
2025-02-11,140,23:20-23:30,567.1883333333334,547.6158349483834,558.6780382505425,0.0,0.0
2025-02-11,141,23:30-23:40,585.2442666666667,558.2300945931104,578.1256101643925,0.0,0.0
2025-02-11,142,23:40-23:50,569.0824333333334,548.7670644616987,568.077007849778,0.0,0.0
2025-02-11,143,23:50-24:00,537.1033333333334,532.5196847538447,525.0183005776385,0.0,0.0
2025-02-12,0,00:00-00:10,545.4922666666666,572.276068158415,566.77166897899,0.0,0.0
2025-02-12,1,00:10-00:20,558.2671833333333,604.6159463234776,563.6709296783981,0.0,0.0
2025-02-12,2,00:20-00:30,561.525,603.883228279018,574.9106042857132,0.0,0.0
2025-02-12,3,00:30-00:40,575.1332166666667,556.6134275220332,579.368016991105,0.0,0.0
2025-02-12,4,00:40-00:50,573.1268333333334,545.5472258448094,575.1994687573361,0.0,0.0
2025-02-12,5,00:50-01:00,569.095,575.2852103110257,573.6066713047641,0.0,0.0
2025-02-12,6,01:00-01:10,601.1015,594.373579563239,586.1187690304481,0.0,0.0
2025-02-12,7,01:10-01:20,603.2015833333334,588.1760833917294,595.3930701047315,0.0,0.0
2025-02-12,8,01:20-01:30,577.4133333333333,570.7196133616346,597.0963464445396,0.0,0.0
2025-02-12,9,01:30-01:40,588.9190333333333,602.3202576954321,602.212989457864,0.0,0.0
2025-02-12,10,01:40-01:50,581.7163666666667,606.7885908219537,602.5286489747723,0.0,0.0
2025-02-12,11,01:50-02:00,565.905,584.9761483585056,602.6030753368282,0.0,0.0
